Type,Code,Value,Comment
Reload,23016,Worksheet row or column index out of range. / Worksheet row or column index out of range.,libxlsxwriter error
Reload,23017,Maximum number of worksheet URLs (65530) exceeded. / Maximum number of worksheet URLs (65530) exceeded.,libxlsxwriter error
Reload,24000,OK / OK,QBDI status is ok
Reload,24001,QBDI returned a message: {0} / Direct Query Mode error,Not translated message from QBDI
Reload,30000,Provided URL uses an unsupported protocol. / Provided URL use an unsupported protocol,libcurl error
Reload,30001,Provided proxy can not be resolved. / Provided proxy can not be resolved,libcurl error
Reload,30002,Failed to connect to host or proxy. / Failed to connect to host or proxy,libcurl error
Reload,30003,Access denied for resource in the URL. / Access denied for resource in the URL,libcurl error
Reload,30004,FTP accept failed. / FTP accept failed,libcurl error
Reload,30005,FTP accept timeout. / FTP accept timeout,libcurl error
Reload,30006,FTP cannot get the host. / FTP can not get the host,libcurl error
Reload,30007,File transfer did not match the expected transfer size. / File transfer did not match the expected transfer size,libcurl error
Reload,30008,Custom QUOTE commands failed. / Custom QUOTE commands failed,libcurl error
Reload,30009,Write failed. / Write failed,libcurl error
Reload,30010,Upload failed. / Upload failed,libcurl error
Reload,30011,Memory allocation failed. / Memory allocation failed,libcurl error
Reload,30012,Operation timeout. / Operation timeout,libcurl error
Reload,30013,FTP REST command failed. / FTP REST command failed,libcurl error
Reload,30014,POST command failed. / POST command failed,libcurl error
Reload,30015,SSL/TSL handshake failed. Certificates and/or passwords are invalid. / SSL/TSL handshake failed. Certificates and/or passwords are invalid,libcurl error
Reload,30016,File read failed. / File read failed,libcurl error
Reload,30017,LDAP bind failed. / LDAP bind failed,libcurl error
Reload,30018,LDAP search failed / LDAP search failed,libcurl error
Reload,30019,Failure due to too many redirects. / Failure due to too many redirects,libcurl error
Reload,30020,SSL certificate or SSH md5 fingerprint failed to verify. / SSL certificate or SSH md5 fingerprint failed to verify,libcurl error
Reload,30021,Received nothing from remote server. / Got nothing from remote server,libcurl error
Reload,30022,Specified crypto engine was not found. / Specified crypto engine not found,libcurl error
Reload,30023,Failed to set the selected SSL crypto engine. / Failed to set the selected SSL crypto engine,libcurl error
Reload,30024,Problem with the local client certificate. / Problem with the local client certificate,libcurl error
Reload,30025,Specified cipher can not be used. / Specified cipher can not be used,libcurl error
Reload,30026,Peer certificate cannot be authenticated. / Peer certificate cannot be authenticated,libcurl error
Reload,30027,Bad content encoding. / Bad content encoding,libcurl error
Reload,30028,Invalid LDAP URL. / Invalid LDAP URL,libcurl error
Reload,30029,Requested FTP SSL level failed. / Requested FTP SSL level failed,libcurl error
