Type,Code,Value,Comment
Reload,11000,Reload in progress. / Reload in progress,A reload request from another connection in the same session is currently being processed.
Reload,11001,The following table could not be found: '{0}'. Correct the reference to the table and reload the script. / Table '{0}' not found,An error message for when a table named in a script cannot be found.
Reload,11002,The following statement could not be identified: '{0}'. Correct the syntax of this statement and reload the script. / Unknown statement: {0},An error message for when the engine cannot figure out what statement type was intended due to a syntax error.
Reload,11003,There is a syntax problem with the following script element: '{0}'.  Correct the syntax and reload the script. / Unexpected token: {0},An error message for when the engine finds a script element
Reload,11004,"The engine expected nothing, but found the following script element: '{0}'. Correct the syntax and reload the script. / Unexpected token: '{0}'  expected nothing",An error message for when the engine finds a script element
Reload,11005,The engine found the following script element: '{0}'. The following script element was expected: '{1}'. Correct the syntax and reload the script. / Unexpected token: '{0}' expected: '{1}',An error message for when the engine finds a script element
Reload,11006,"The engine found the following script element: '{0}'. One of the following script elements was expected: '{1}' or  '{2}'. Correct the syntax and reload the script. / Unexpected token: '{0}' expected one of: '{1}' , '{2}'",An error message for when the engine finds a script element
Reload,11007,"The engine found the following script element: '{0}'. One of the following script elements was expected: '{1}', '{2}', or '{3}'. Correct the syntax and reload the script. / Unexpected token: '{0}' expected one of: '{1}' , '{2}' , '{3}'",An error message for when the engine finds a script element
Reload,11008,"The engine found the following script element: '{0}'. One of the following script elements was expected: '{1}', '{2}', '{3}', or '{4}'. Correct the syntax and reload the script. / Unexpected token: '{0}' expected one of: '{1}' , '{2}' , '{3}' , '{4}'",An error message for when the engine finds a script element
Reload,11009,"The engine found the following script element: '{0}'. One of the following script elements was expected: '{1}', '{2}', '{3}', '{4}', or '{5}'. Correct the syntax and reload the script. / Unexpected token: '{0}' expected one of: '{1}' , '{2}' , '{3}' , '{4}' , '{5}'",An error message for when the engine finds a script element
Reload,11010,"The engine found the following script element: '{0}'. One of the following script elements was expected: '{1}', '{2}', '{3}', '{4}', '{5}', or '{6}'. Correct the syntax and reload the script. / Unexpected token: '{0}' expected one of: '{1}' , '{2}' , '{3}' , '{4}' , '{5}' , '{6}'",An error message for when the engine finds a script element
Reload,11011,"The engine found the following script element: '{0}'. One of the following script elements was expected: '{1}', '{2}', '{3}', '{4}', '{5}', '{6}', or '{7}'. Correct the syntax and reload the script. / Unexpected token: '{0}' expected one of: '{1}' , '{2}',  '{3}' , '{4}' , '{5}' , '{6}' , '{7}'",An error message for when the engine finds a script element
Reload,11012,"The engine found the following script element: '{0}'. Another script element was expected, such as: '{1}', '{2}', '{3}', '{4}', '{5}', '{6}', or '{7}'. Correct the syntax and reload the script. / Unexpected token: '{0}' expected one of: '{1}' , '{2}' , '{3}' , '{4}' , '{5}' , '{6}' , '{7}' ...",An error message for when the engine finds a script element
Reload,11013,The following field could not be found: '{0}'. Correct the reference to the field and reload the script. / Field '{0}' not found,An error message for when a field named in a script cannot be found.
Reload,11014,The following mapping table could not be found: '{0}'. Correct the reference to the mapping table and reload the script. / Mapping table '{0}' not found,An error message for when a mapping table that was named in the script cannot be found.
Reload,11015,The following connection could not be found: '{0}'. Correct the reference to the connection and reload the script. / Connection '{0}' not found,An error message for when a connection that was named in the script cannot.  From script like: LIB CONNECT TO [lib://database]
Reload,11016,This name already exists: '{0}'. Select a different name for the rename operation and reload the script. / The name '{0}' already exists.,An error message for when the name selected for a rename operation is already in use.
Reload,11017,The file is in an incorrect format or may be damaged. Save the file in DIF format and reload the script. / Unsupported or bad format in DIF file,An error message for when a DIF file is specified but the file it is pointing to is not in the DIF format or is too damaged to be recognized. Do not translate [DIF].
Reload,11018,The file is in an incorrect format or may be damaged. Save the file in BIFF format and reload the script. / Unsupported or bad format in BIFF file,An error message for when a BIFF file is specified but the file it is pointing to is not in the BIFF format or is too damaged to be recognized. Do not translate [BIFF].
Reload,11019,Cannot read an Excel file protected by passwords. Remove the password and reload the script. / Cannot read file because it is encrypted,An error message for when the excel file selected to load data from is password protected and inaccessible to Sense. Do not translate [Excel].
Reload,11020,Cannot open the following file: '{0}'. Check to confirm that the file is available and reload the script. / Cannot open file: '{0}',"An error message for when a file is specified in a script, but cannot be opened due to the file not existing, the system not having the rights to open it, the file being already opened and locked by another program, or another cause of the file being made inaccessible."
Reload,11021,The following autogenerate number is incorrect: '{0}'. Autogenerate numbers cannot be negative numbers or greater than 2147483647. Correct the autogenerate number and reload the script. / Invalid Autogenerate count: {0},"An error message for when the autogenerate number, that is the number of records the autogenerate statement is generating, of a LOAD statement is invalid. Typically a negative number or too large like more than 2^31. Do not translate [autogenerate]"
Reload,11022,These LOAD statement prefixes cannot be combined. Remove the conflicting prefixes and reload. / Illegal combination of prefixes,"An error message for when a LOAD statement includes conflicting prefixes, such as JOIN and NONCONCATENATE. Do not translate [LOAD]"
Reload,11023,The control statement does not match its corresponding start statement. Confirm that the start and end of the control statement are formatted correctly and reload. / The control statement is not correctly matched with its corresponding start statement.,"An error message for when a Control statement that has a start and end part, such as IF ... and the corresponding end if, does not have matching start and end parts."
Reload,11024,"The following connection could not be found: {0}. Correct the reference to the connection or confirm you have access rights to this connection, and reload. / Connection not found: {0}",An error message for when the connection specified cannot be found.
Reload,11025,The following connection is invalid: {0}.  Correct the reference to the connection and reload. / Connection {0} is invalid,An error message for when the connection specified exists but something is wrong with its definition.
Reload,11026,The following path is outside the folder defined by the connection: '{0}'. Enter the complete path and reload the script. / The path '{0}' is outside the folder defined by the connection,"An error message for when a path is probably using .. to escape the file system root, which is not allowed."
Reload,11027,There is no qualified path for the following file: {0}. Save your QlikView document before using qualify statements. / No qualified path for file: {0},An error message for when a path is missing a qualified path. This specific message will only come when using relative paths and the app/document is not saved
Reload,11028,This statement only works with lib:// paths in standard mode. Change your statement to use a lib:// path and reload the script. / This statement only works with lib:// paths in this script mode,An error message for when LOAD is used with a path other than a Lib path in standard mode. Do not translate [lib://]
Reload,11029,Inconsistent use of semantic fields. Correct the use of the semantic prefix and reload the script. / Inconsistent use of semantic fields,An error message for when semantic fields are used inconsistently. Do Not Translate [semantic].
Reload,11030,"There is no open data connection. There may be a missing or failed CONNECT statement. Check your CONNECT statement, confirm the connection is accessible, and reload the script. / There is no open data connection.","An error message for when where is no open data connection, likely as the result of a SELECT statement missing a successful CONNECT statement before it, but also potentially because the database is unavailable or the database account is invalid. Do not translate [CONNECT]."
Reload,11031,The GROUP BY clause requires aggregation expressions. Add aggregation expressions to the clause and reload the script. / Aggregation expressions required by GROUP BY clause.,An error message for when a GROUP BY clause is missing aggregation expressions such as SUM or COUNT. Do not translate: [GROUP BY].
Reload,11032,CONNECT statements other than LIB CONNECT are not available in this script mode. Change the CONNECT statement to LIB CONNECT and reload the script. / CONNECTs other than LIB CONNECT are not available in this script mode.,"An error message for when a CONNECT statement is used in the incorrect script mode. Do not translate: CONNECT, LIB CONNECT. Do not translate [CONNECT, LIB CONNECT]"
Reload,11033,ODBC connection failed. Check to see if the database is available and that it is identified correctly in the script. / ODBC connection failed,An error message for when a ODBC connection fails. Do not translate [ODBC]
Reload,11034,OLEDB connection failed. Check to see if the database is available and that it is identified correctly in the script. / OLEDB connection failed,An error message for when a OLEDB connection fails. Do not translate [OLEDB]
Reload,11035,Custom connection failed. Check to see if the database is available and that it is identified correctly in the script. / Custom connection failed,An error message for when a custom connection fails.
Reload,11036,ODBC read failed. Check to see if the database is available and that it is identified correctly in the script. / ODBC read failed,An error message for when a ODBC read fails. Do not translate [ODBC]
Reload,11037,OLEDB read failed. Check to see if the database is available and that it is identified correctly in the script. / OLEDB read failed,An error message for when a OLEDB read fails. Do not translate [OLEDB]
Reload,11038,Custom read failed. Check to see if the database is available and that it is identified correctly in the script. / Custom read failed,An error message for when a Custom read fails.
Reload,11039,Binary load is not allowed with the following document: {0}. / Binary Load is not allowed on: {0},An error message for when Binary LOAD is attempted on a document that has been marked as protected from Binary LOAD. It could be sensitive data and the admin disabled it. Do not translate [binary LOAD]
Reload,11040,The following connector failed to start: {0}. The connector cannot be found or the system is missing DLLs for the connector. Contact your system administrator. / Failed to start connector: {0},An error message for when a connector fails to start. This could be from the system missing DLL for the connector or the system being unable to find the connector. Do not translate [DLL]
Reload,11041,The connector is not responding. Contact your system administrator. / Connector is not responding,An error message for when a connector is not responding.
Reload,11042,The connector has returned the following error: {0}. / Connector reply error: {0},An error message for when the connector failed to perform a task and returned an error
Reload,11043,Connector connect error: {0}. / Connector connect error: {0},The CONNECT statment
Reload,11044,Custom connector {0} was not found. / Connector {0} not found,Custom connector type is probably not supported. Only supported extensions are .exe and .dll.
Reload,11045,Duplicate keys found when loading Input Field {0}. / Duplicate keys when loading Input Field {0},
Reload,11046,There is no previously loaded table to perform a Concatenate LOAD with. / No previous table for concatenate load.,
Reload,12000,There is a new version of Qlik Sense Desktop available. Please update to the new version. / New Qlik Sense Desktop version available,Showed when we have a new version of the product available
Reload,12001,Your version of Qlik Sense Desktop has expired. / This engine has expired,Showed when the product  is outdated
Reload,12002,"Section access information was detected. This is not supported in Qlik Sense Desktop. To be able to load data into Qlik Sense Desktop, make sure to remove any section access information using a version that supports this. / Section access detected when opening an app",Showed when Qlik Sense Desktop detects section access in the app upon load
Reload,12003,"Because the app is open, it cannot be deleted. Please close the app and try again. / Unknown error",Showed when an already opened app is about to be deleted in Qlik Sense Desktop
